Id,OrgId,OveragePrice,TenantId,accessStart,billingFrequency,connectorId,connectorIsExtractor,connectorLevel,connectorMarketplaceName,connectorName,connectorPOS,initialTerm,isAccessPermitted,itemName,obligationSource,price,productCatalogId,quantity,renewalTerm,termEnd,termStart
aLZUz000002R2W2OAK,66d0622c764c481bf7a86845,,66d0622c764c481bf7a86846,2025-04-10,,,,,,,,,True,Domestic,Salesforce,1612.38,LR_ST_REG_DOM,,,2026-04-09,2025-04-10
aLZUz000002q35VOAQ,66d0622c764c481bf7a86845,,66d0622c764c481bf7a86846,2025-08-28,Annual,,,,,,,12,True,Overage,Salesforce,0,CDM_ECM_PRM_CEM_OVG,1,12,2026-08-27,2025-08-28
aLZUz000002q35WOAQ,66d0622c764c481bf7a86845,,66d0622c764c481bf7a86846,2025-08-28,Annual,,,,,,,12,True,Service Fee,Salesforce,4334.1,CDM_ECM_PRM_CEM_SVC,1,12,2026-08-27,2025-08-28
aLZUz000002q35XOAQ,66d0622c764c481bf7a86845,,66d0622c764c481bf7a86846,2025-08-28,Annual,,,,,,,12,True,Volunteer Returns,Salesforce,0,RR_SST_VOL,1,12,2026-08-27,2025-08-28
aLZUz000002q35YOAQ,66d0622c764c481bf7a86845,,66d0622c764c481bf7a86846,2025-08-28,Annual,,,,,,,12,True,Non-Volunteer Returns,Salesforce,0,RR_SST_NONVOL,1,12,2026-08-27,2025-08-28
aLZUz000002q35ZOAQ,66d0622c764c481bf7a86845,,66d0622c764c481bf7a86846,2025-08-28,Annual,,,,,,,12,True,Prepaid Planned Late-Locking Fee,Salesforce,0,RR_MRS_PRM_PPD_PLN_LL,1,12,2026-08-27,2025-08-28
aLZUz000002q35aOAA,66d0622c764c481bf7a86845,,66d0622c764c481bf7a86846,2025-08-28,Annual,,,,,,,12,True,Prepaid Unplanned Late Locking Fee,Salesforce,0,RR_MRS_PRM_PPD_UNPLN_LL,1,12,2026-08-27,2025-08-28
aLZUz000002q35bOAA,66d0622c764c481bf7a86845,,66d0622c764c481bf7a86846,2025-08-28,Annual,,,,,,,12,True,Prepaid Premium-Overage,Salesforce,0,RR_MRS_PRM_PPD_OVG,1,12,2026-08-27,2025-08-28
aLZUz000002q35cOAA,66d0622c764c481bf7a86845,,66d0622c764c481bf7a86846,2025-08-28,Annual,,,,,,,12,True,Late Funder Fee,Salesforce,0,RR_LFF_USG,1,12,2026-08-27,2025-08-28
aLZUz000002q35dOAA,66d0622c764c481bf7a86845,,66d0622c764c481bf7a86846,2025-08-28,Annual,,,,,,,12,True,Prepaid Service,Salesforce,25394.69,RR_MRS_PRM_PPD_SVC,458,12,2026-08-27,2025-08-28
aLZUz000002q35eOAA,66d0622c764c481bf7a86845,,66d0622c764c481bf7a86846,2025-08-28,,,,,,,,,True,Upgrade Fee,Salesforce,231,RR_MRS_PRM_PPD_UPG,,,2026-08-27,2025-08-28
aLZUz000002q35fOAA,66d0622c764c481bf7a86845,,66d0622c764c481bf7a86846,2025-08-28,Annual,,,,,,,12,True,Overage,Salesforce,0,CALC_AVTX_OVG,1,12,2026-08-27,2025-08-28
aLZUz000002q35gOAA,66d0622c764c481bf7a86845,,66d0622c764c481bf7a86846,2025-08-28,Annual,a0nUz000003MOA1IAO,No,Level 2,Avalara for Shopify,Avalara for Shopify,False,12,True,Connector for Avatax,Salesforce,678.96,CALC_AVTX_CONN,1,12,2026-08-27,2025-08-28
aLZUz000002q35hOAA,66d0622c764c481bf7a86845,,66d0622c764c481bf7a86846,2025-08-28,Annual,,,,,,,12,True,Recurring Sandbox,Salesforce,2106.98,CALC_AVTX_SBX_SVC,1,12,2026-08-27,2025-08-28
aLZUz000002q35iOAA,66d0622c764c481bf7a86845,,66d0622c764c481bf7a86846,2025-08-28,Annual,a0n4000000ChMwnAAF,No,Level 3,NetSuite OneWorld,NetSuite OneWorld,True,12,True,Connector for Avatax,Salesforce,4390.51,CALC_AVTX_CONN,1,12,2026-08-27,2025-08-28
aLZUz000002q35jOAA,66d0622c764c481bf7a86845,,66d0622c764c481bf7a86846,2025-08-28,Annual,,,,,,,12,True,Service,Salesforce,7091.88,CALC_AVTX_SVC,1,12,2026-08-27,2025-08-28
aLZUz00000309T1OAI,66d0622c764c481bf7a86845,,66d0622c764c481bf7a86846,2025-10-22,,,,,,,,,True,Domestic,Salesforce,403.1,LR_ST_REG_DOM,,,2026-10-21,2025-10-22
aLZUz0000036SHdOAM,66d0622c764c481bf7a86845,,66d0622c764c481bf7a86846,2025-11-21,,,,,,,,,True,De-Registration,Salesforce,16526.9,LR_ST_DREG,,,2026-08-27,2025-11-21
aLZUz0000036SHeOAM,66d0622c764c481bf7a86845,,66d0622c764c481bf7a86846,2025-11-21,,,,,,,,,True,Domestic,Salesforce,8868.09,LR_ST_REG_DOM,,,2026-08-27,2025-11-21
aLZUz000003Gf2HOAS,66d0622c764c481bf7a86845,,66d0622c764c481bf7a86846,2026-01-13,,,,,,,,,True,De-Registration,Salesforce,9271.19,LR_ST_DREG,,,2027-01-12,2026-01-13
aLZUz000003Gf2IOAS,66d0622c764c481bf7a86845,,66d0622c764c481bf7a86846,2026-01-13,,,,,,,,,True,Domestic,Salesforce,9287.31,LR_ST_REG_DOM,,,2027-01-12,2026-01-13
