id,accountId,subscriptionTypeId,subscriptionDescription,effectiveDate,createdDate,createdUserId,modifiedDate,modifiedUserId
8379907,2006428542,1,AvaTaxST,2024-08-28,2024-08-29T11:47:02.07,124279,2024-08-29T11:47:02.07,124279
8379908,2006428542,2,AvaTaxPro,2024-08-28,2024-08-29T11:47:02.07,124279,2024-08-29T11:47:02.07,124279
8379906,2006428542,3,AvaTaxGlobal,2024-08-28,2024-08-29T11:47:02.07,124279,2024-08-29T11:47:02.07,124279
8379912,2006428542,4,AutoAddress,2024-08-28,2024-08-29T11:47:02.073,124279,2024-08-29T11:47:02.073,124279
8379916,2006428542,9,Mrs,2024-08-28,2024-08-29T11:47:02.077,124279,2024-08-29T11:47:02.077,124279
8379909,2006428542,10,AvaCert,2024-08-28,2024-08-29T11:47:02.07,124279,2024-08-29T11:47:02.07,124279
8379918,2006428542,24,MRSComplianceManager,2024-08-28,2024-08-29T11:47:02.077,124279,2024-08-29T11:47:02.077,124279
8379920,2006428542,35,MRSPremium,2024-08-28,2024-08-29T11:47:02.077,124279,2024-08-29T11:47:02.077,124279
8379913,2006428542,36,AvaRentalLeasing,2024-08-28,2024-08-29T11:47:02.073,124279,2024-08-29T11:47:02.073,124279
8379921,2006428542,37,AvaOtherTaxes,2024-08-28,2024-08-29T11:47:02.08,124279,2024-08-29T11:47:02.08,124279
8379914,2006428542,49,ECMPremium,2024-08-28,2024-08-29T11:47:02.073,124279,2024-08-29T11:47:02.073,124279
8379910,2006428542,57,AvaTaxOnlyDataOptout,2024-08-28,2024-08-29T11:47:02.073,124279,2024-08-29T11:47:02.073,124279
8379919,2006428542,58,ReturnsDataOptout,2024-08-28,2024-08-29T11:47:02.077,124279,2024-08-29T11:47:02.077,124279
8379917,2006428542,59,SSTDataOptout,2024-08-28,2024-08-29T11:47:02.077,124279,2024-08-29T11:47:02.077,124279
8379911,2006428542,61,NewAccountData,2024-08-28,2024-08-29T11:47:02.073,124279,2024-08-29T11:47:02.073,124279
8379915,2006428542,65,SST,2024-08-28,2024-08-29T11:47:02.073,124279,2024-08-29T11:47:02.073,124279
8379922,2006428542,67,ATR,2024-08-28,2024-08-29T11:47:02.08,124279,2024-08-29T11:47:02.08,124279
