country,descriptive_local_label,descriptive_or_internal_label,descriptive_state_level_label,likely_local,likely_normalized_form_label,likely_official_or_near_official,likely_state_or_province_level,region,row_count,unclear
CA,1,0,0,0,0,0,1,BC,1,0
CA,0,0,1,0,0,0,1,CA,1,0
CA,0,0,0,0,0,1,1,MB,1,0
CA,2,0,0,0,0,0,2,QC,2,0
CA,1,0,0,0,0,0,1,SK,1,0
IN,0,5,0,0,0,4,9,IN,9,0
US,7,2,75,8,0,1,77,AK,85,0
US,49,4,67,50,0,7,77,AL,127,0
US,0,0,3,0,0,1,4,AR,4,0
US,0,0,21,0,0,3,24,AZ,24,0
US,0,1,2,0,0,9,12,CA,12,0
US,4,7,84,4,0,5,96,CO,100,0
US,0,1,1,0,0,1,3,CT,3,0
US,0,0,0,0,0,4,4,DC,4,0
US,0,0,0,0,0,5,5,DE,5,0
US,0,0,1,0,0,2,3,FL,3,0
US,0,0,1,0,0,2,3,GA,3,0
US,0,0,0,0,0,1,1,GU,1,0
US,0,0,0,0,0,2,2,HI,2,0
US,0,0,5,0,0,5,10,IA,10,0
US,3,0,14,3,0,1,15,ID,18,0
US,0,0,8,0,1,10,19,IL,19,0
US,0,0,1,0,0,1,2,IN,2,0
US,0,0,1,0,0,5,6,KS,6,0
US,0,0,4,0,0,0,4,KY,4,0
US,2,0,70,2,0,5,75,LA,77,0
US,0,1,0,0,0,5,6,MA,6,0
US,0,0,0,0,0,2,2,MD,2,0
US,0,0,1,0,0,3,4,ME,4,0
US,0,0,8,0,1,5,14,MI,14,0
US,0,0,4,0,0,3,7,MN,7,0
US,0,0,5,0,0,4,9,MO,9,0
US,0,1,0,0,0,3,4,MS,4,0
US,0,0,1,0,0,2,3,NC,3,0
US,0,0,1,0,0,1,2,ND,2,0
US,0,0,3,0,0,1,4,NE,4,0
US,0,0,1,0,0,4,5,NJ,5,0
US,0,0,0,0,0,4,4,NM,4,0
US,0,0,1,0,0,2,3,NV,3,0
US,0,0,2,0,0,6,8,NY,8,0
US,0,2,2,0,0,2,6,OH,6,0
US,0,1,1,0,0,3,5,OK,5,0
US,0,0,2,0,0,0,2,OR,2,0
US,0,1,11,0,0,3,15,PA,15,0
US,0,78,3,0,0,0,81,PR,81,0
US,0,0,2,0,0,4,6,RI,6,0
US,0,0,0,0,0,2,2,SC,2,0
US,0,0,2,0,0,1,3,SD,3,0
US,0,0,1,0,0,2,3,TN,3,0
US,0,0,1,0,0,3,4,TX,4,0
US,0,1,0,0,0,0,0,US,1,1
US,0,0,1,0,0,2,3,UT,3,0
US,0,2,2,1,1,5,9,VA,10,0
US,0,0,1,0,0,0,1,VI,1,0
US,0,0,1,0,0,2,3,VT,3,0
US,1,2,62,1,0,0,64,WA,65,0
US,0,0,1,0,0,2,3,WI,3,0
US,2,1,26,2,0,1,28,WV,30,0
US,0,0,1,0,0,3,4,WY,4,0
